(621, 344)
(491, 228)
(620, 116)
(750, 74)
(649, 140)
(462, 10)
(142, 112)
(150, 106)
(474, 99)
(230, 399)
(690, 85)
(563, 419)
(381, 370)
(646, 164)
(467, 361)
(530, 441)
(517, 404)
(493, 206)
(320, 87)
(134, 52)
(601, 64)
(332, 111)
(252, 35)
(576, 195)
(449, 41)
(770, 1)
(541, 266)
(5, 335)
(526, 411)
(153, 87)
(4, 158)
(316, 403)
(675, 277)
(186, 391)
(196, 8)
(582, 19)
(570, 413)
(207, 297)
(15, 49)
(439, 375)
(7, 255)
(188, 213)
(484, 388)
(169, 443)
(685, 445)
(88, 279)
(742, 136)
(715, 288)
(654, 467)
(364, 259)
(469, 312)
(82, 112)
(455, 427)
(372, 397)
(745, 317)
(510, 362)
(34, 282)
(163, 481)
(64, 289)
(799, 493)
(7, 391)
